State,MedianRent
Hawaii,1566
California,1429
Maryland,1357
New Jersey,1295
New York,1240
Alaska,1231
Massachusetts,1225
Virginia,1202
Colorado,1196
Washington,1194
Connecticut,1156
Florida,1128
Delaware,1110
New Hampshire,1077
Nevada,1060
Oregon,1050
Arizona,1009
Texas,998
Utah,988
Illinois,984
Rhode Island,981
Vermont,972
Georgia,968
Minnesota,944
Pennsylvania,915
North Carolina,877
South Carolina,868
Michigan,850
Louisiana,850
Wyoming,843
Tennessee,841
Wisconsin,837
Maine,831
Kansas,831
New Mexico,828
Idaho,825
Missouri,809
Indiana,807
North Dakota,806
Nebraska,805
Oklahoma,793
Ohio,788
Montana,783
Alabama,772
Iowa,766
Mississippi,762
Kentucky,741
Arkansas,729
South Dakota,722
West Virginia,711
