month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_per_square_foot,average_listing_price
202007,alabama,al,258050,115.5569282,339592
202007,iowa,ia,224000,128.7268055,260855
202007,massachusetts,ma,619950,308.3024179,993678
202007,colorado,co,525000,225.0286624,945532
202007,ohio,oh,222500,103.9726562,307861
202007,arizona,az,389549.5,195.0302192,629597
202007,alaska,ak,312500,176.2698638,360721
202007,new mexico,nm,282050,138.4672101,421474
202007,vermont,vt,321500,157.9136797,466923
202007,kansas,ks,220000,101.2394225,321772
202007,louisiana,la,249750,124.4722586,331428
202007,new jersey,nj,443000,15.5,642349
202007,idaho,id,408550,194.711367,674310
202007,minnesota,mn,309950,154.3135854,404412
202007,wyoming,wy,290050,129.8940545,679244
202007,delaware,de,342950,157.1149425,460749
202007,arkansas,ar,209500,102.8904019,286706
202007,kentucky,ky,239500,112.0568073,320751
202007,north dakota,nd,239891.5,113.2671853,280289
202007,washington,wa,500005,246.6569332,701181
202007,rhode island,ri,424500,242.8223844,745903
202007,tennessee,tn,325050,143.671875,464176
202007,florida,fl,344532,191.03125,700930
202007,michigan,mi,255050,140.6268362,359709
202007,new hampshire,nh,392500,191.4309955,518164
202007,california,ca,698550,382.6875,1417575
202007,missouri,mo,229950,114.2698168,315018
202007,wisconsin,wi,275050,137.6515988,359572
202007,district of columbia,dc,697212.5,560.3119178,1037274
202007,texas,tx,310698,140.0585937,452955
202007,oklahoma,ok,239175,113.655914,319118
202007,south carolina,sc,289950,130.8250634,446009
202007,pennsylvania,pa,259728,125.9206731,374843
202007,indiana,in,238144.5,107.5802387,306618
202007,georgia,ga,326500,121.7256098,447644
202007,utah,ut,482049.5,190.9268545,879658
202007,nebraska,ne,259200,120.7800156,317024
202007,oregon,or,454025,231.8546773,608091
202007,hawaii,hi,632550,522.4865883,1146380
202007,west virginia,wv,174545,83.63966185,247702
202007,north carolina,nc,340050,141.9511596,470284
202007,montana,mt,399050,189.3675845,738745
202007,south dakota,sd,258950,131.6990518,331849
202007,new york,ny,527050,202.5625,1084950
202007,mississippi,ms,220050,101.4459816,282686
202007,maine,me,299050,171.4875363,448182
202007,nevada,nv,355047,188.3501329,605189
202007,connecticut,ct,397300,182.8853645,803912
202007,maryland,md,367050,176.0624137,508159
202007,illinois,il,259950,124.0625,380499
202007,virginia,va,359950,160.4296875,511686
